idade_usuario,salario_usuario,moradia_usuario,tempo_trabalho_usuario,motivo_emprestimo,pontuacao_emprestimo,valor_emprestimo,taxa_emprestimo,status_emprestimo,renda_percentual_emprestimo,status_inadimplencia,tempo_credito
29,48000,Alugada,2,Pessoal,B,15000,11.36,1,0.31,N,8
31,201000,Hipotecada,3,Pessoal,B,15000,11.12,0,0.07,N,5
25,42000,Hipotecada,3,"Melhoria do lar",A,10000,5.42,0,0.24,N,2
21,55000,Hipotecada,5,Educacao,A,10500,7.51,0,0.19,N,3
26,165000,Hipotecada,10,Educacao,C,20000,13.22,0,0.12,Y,4
29,48000,Hipotecada,13,Pessoal,B,20000,NULL,0,0.42,N,9
41,33000,Alugada,2,Medico,C,13750,13.79,1,0.42,Y,11
29,89004,Hipotecada,2,Educacao,D,4800,14.11,0,0.05,Y,8
23,69000,Alugada,7,"Pagamento de Débitos",B,4800,10.75,0,0.07,N,2
23,86000,Alugada,0,Empreendimento,B,4800,9.62,0,0.06,N,3
48,32304,Hipotecada,22,Medico,B,15000,9.63,0,0.46,N,17
49,74000,Hipotecada,20,"Pagamento de Débitos",E,12000,17.99,1,0.16,N,15
24,74400,Alugada,1,Medico,A,3500,7.29,0,0.05,N,3
25,155000,Hipotecada,9,Medico,A,18000,7.51,0,0.12,N,2
23,24000,Alugada,0,Educacao,B,6250,12.53,0,0.26,N,3
29,175000,Hipotecada,2,"Melhoria do lar",A,10000,NULL,0,0.06,N,9
22,62000,Hipotecada,5,Medico,B,3000,8.7,0,0.05,N,3
28,30000,Alugada,7,Empreendimento,B,10000,10.38,1,0.33,N,5
22,88620,Hipotecada,6,"Pagamento de Débitos",A,24000,6.62,0,0.27,N,3
31,36572,Alugada,NULL,Medico,A,7900,NULL,0,0.22,N,7
39,78000,Alugada,3,"Melhoria do lar",D,25000,16.02,1,0.32,N,17
23,54000,Alugada,8,Empreendimento,B,12000,11.36,0,0.22,N,2
36,60000,Alugada,0,"Melhoria do lar",C,15000,13.57,0,0.25,N,12
26,31200,Alugada,8,Pessoal,A,5000,8.63,0,0.16,N,2
30,28800,Alugada,1,"Pagamento de Débitos",C,8000,12.73,0,0.28,N,10
24,60000,Alugada,8,Pessoal,D,20000,13.87,1,0.33,N,4
21,40000,Alugada,3,Educacao,D,7000,14.46,0,0.17,N,3
23,70000,Hipotecada,7,Educacao,C,2000,13.49,0,0.03,Y,2
38,17108,Hipotecada,7,Educacao,A,4375,7.51,1,0.26,N,17
22,132000,Hipotecada,3,Medico,A,10000,7.66,0,0.08,N,2
26,120000,Alugada,11,"Melhoria do lar",C,10000,12.68,0,0.08,N,2
23,54500,Alugada,2,"Pagamento de Débitos",A,8000,NULL,0,0.15,N,2
27,NULL,Hipotecada,10,Medico,A,NULL,12.69,0,0.11,N,4
26,54011,Alugada,10,Educacao,D,9500,16.29,0,0.18,N,2
43,62000,Hipotecada,2,Educacao,B,20000,10.25,0,0.32,N,14
24,31776,Alugada,6,Empreendimento,A,4700,8.94,0,0.15,N,3
54,154000,Hipotecada,1,Pessoal,B,12000,12.69,0,0.08,N,26
27,38500,Alugada,0,"Pagamento de Débitos",B,11500,12.42,0,0.3,N,9
26,40272,Hipotecada,3,Educacao,B,10000,11.86,0,0.25,N,3
29,220000,Hipotecada,13,"Pagamento de Débitos",B,8500,10.37,0,0.04,N,5
32,60000,Alugada,0,Pessoal,B,10000,12.42,0,0.17,N,9
22,12000,Alugada,0,Educacao,A,6700,7.66,1,0.56,N,4
31,135000,Hipotecada,12,Educacao,C,15000,13.85,0,0.11,Y,9
24,59964,Hipotecada,0,"Pagamento de Débitos",B,1275,10.99,1,0.02,N,4
25,13440,Alugada,3,Medico,A,6000,7.49,1,0.45,N,3
63,37000,Alugada,24,"Pagamento de Débitos",C,5450,15.96,1,0.15,N,22
24,103000,Hipotecada,8,"Melhoria do lar",B,6400,10.37,0,0.06,N,3
26,66400,Alugada,6,Medico,A,6000,7.29,0,0.09,N,4
23,60000,Alugada,1,"Pagamento de Débitos",A,9000,7.51,0,0.15,N,3
24,49920,Alugada,0,Medico,C,7200,13.06,0,0.14,Y,3
24,66000,Hipotecada,8,Pessoal,D,15000,18.25,0,0.23,N,4
24,28800,Hipotecada,5,"Pagamento de Débitos",C,5500,NULL,0,0.19,Y,3
26,30000,Alugada,4,"Pagamento de Débitos",B,12000,11.11,1,0.4,N,3
31,46000,Alugada,6,Medico,D,9600,14.46,1,0.21,Y,5
24,43275,Alugada,4,Medico,C,17000,13.47,1,0.39,N,3
36,28000,Hipotecada,1,Empreendimento,D,3075,15.62,1,0.11,Y,12
41,58000,Alugada,16,Pessoal,C,7500,11.03,0,0.13,Y,16
29,50004,Hipotecada,5,Pessoal,A,10000,5.99,0,0.2,N,5
22,76296,Hipotecada,6,Empreendimento,A,18000,7.88,0,0.24,N,3
25,85000,Alugada,NULL,Medico,E,1000,7.51,0,0.03,N,17
26,87000,Hipotecada,9,"Pagamento de Débitos",C,25000,12.73,0,0.29,N,2
23,77004,Hipotecada,6,Medico,A,12000,5.79,0,0.16,N,3
26,32500,Hipotecada,8,"Pagamento de Débitos",C,3000,13.22,0,0.09,Y,3
32,33600,Propria,0,Empreendimento,D,8000,16.02,0,0.24,N,8
23,24996,Propria,1,Educacao,B,8000,11.26,0,0.32,N,2
23,110000,Alugada,3,Educacao,B,20000,12.42,0,0.18,N,3
23,44000,Alugada,2,Medico,C,6000,14.22,0,0.14,Y,4
22,81800,Hipotecada,6,Educacao,A,2500,6.39,0,0.03,N,2
24,75000,Hipotecada,9,"Melhoria do lar",A,11500,5.42,0,0.15,N,2
23,74000,Alugada,7,"Melhoria do lar",A,7000,6.03,1,0.09,N,3
34,29004,Alugada,9,Educacao,B,10000,11.83,1,0.34,N,5
24,45000,Alugada,0,"Pagamento de Débitos",D,4000,15.99,1,0.09,N,4
24,26000,Alugada,3,Medico,B,7850,9.96,0,0.3,N,2
30,36996,Alugada,5,Educacao,A,10000,8.9,0,0.27,N,6
25,95004,Hipotecada,9,Educacao,A,18000,7.51,0,0.19,N,4
24,48000,Hipotecada,7,Medico,A,12000,7.29,0,0.25,N,3
23,65000,Hipotecada,7,Educacao,A,10500,6.03,0,0.16,N,4
24,37000,Alugada,2,Medico,A,2000,5.42,0,0.05,N,4
38,55000,Propria,5,,A,5300,NULL,0,0.17,N,7
NULL,44208,Alugada,NULL,Medico,A,10000,7.88,0,0.15,N,2
25,55000,,10,Educacao,C,5000,12.62,0,0.1,N,3
24,72000,Hipotecada,8,Educacao,C,14000,14.65,1,0.19,Y,4
23,75000,Hipotecada,7,Empreendimento,B,15000,10.38,0,0.2,N,3
22,75000,Alugada,6,Educacao,B,24000,12.69,1,0.32,N,4
29,80000,Alugada,5,Medico,B,12500,11.71,0,0.16,N,7
42,54000,Alugada,4,"Pagamento de Débitos",C,16000,12.87,1,0.3,Y,14
23,44000,Hipotecada,0,Medico,A,5500,6.17,0,0.13,N,4
32,NULL,Alugada,NULL,Medico,A,12000,14.54,0,0.27,N,2
24,35000,Hipotecada,3,Medico,C,15000,14.27,0,0.43,N,2
24,48000,Alugada,6,Educacao,,6000,10.62,0,0.1,,2
22,47940,Hipotecada,4,"Pagamento de Débitos",B,15000,NULL,0,0.31,N,4
23,90000,Alugada,0,"Pagamento de Débitos",C,8000,13.35,0,0.09,Y,3
24,85000,Hipotecada,3,"Melhoria do lar",A,NULL,NULL,0,0.1,N,2
25,74800,Alugada,2,Medico,B,5000,12.69,NULL,NULL,N,3
22,76000,,0,Educacao,C,8700,NULL,0,0.13,N,5
23,29376,Alugada,3,Empreendimento,A,5950,7.66,0,0.2,N,2
28,48000,Alugada,5,"Pagamento de Débitos",B,15000,11.99,1,0.31,N,10
22,22560,Alugada,3,Pessoal,D,4200,15.2,1,0.19,Y,4
26,20004,Hipotecada,4,"Melhoria do lar",B,3600,NULL,0,0.18,N,4
30,71000,Alugada,2,"Melhoria do lar",A,12000,8.9,0,0.17,N,8
21,45000,Alugada,3,Medico,B,9600,12.18,0,0.21,N,3
30,45000,Alugada,2,Educacao,A,13250,7.9,0,0.29,N,9
23,24000,Propria,0,Educacao,A,7000,7.14,0,0.29,N,3
33,54000,Alugada,15,"Pagamento de Débitos",B,10000,10.99,0,0.19,N,8
34,41004,Hipotecada,5,"Melhoria do lar",C,16000,11.78,0,0.39,N,5
25,120000,Alugada,3,Pessoal,B,12000,9.01,0,0.1,N,2
43,72800,Hipotecada,7,"Melhoria do lar",C,20000,12.84,0,0.27,Y,12
31,68000,Hipotecada,15,Pessoal,A,13600,7.88,0,0.2,N,9
25,70000,Hipotecada,1,"Pagamento de Débitos",C,11300,14.65,0,0.16,Y,2
28,30422,Propria,12,Pessoal,A,5000,8.49,0,0.16,N,9
32,32678,Hipotecada,10,"Pagamento de Débitos",C,3075,15.23,0,0.09,N,6
36,69000,Alugada,20,Empreendimento,,12000,NULL,0,NULL,N,2
26,35000,Propria,NULL,Pessoal,B,7200,11.11,0,0.21,N,4
22,49000,Hipotecada,6,Empreendimento,A,4000,8.94,0,0.08,N,2
23,90000,Alugada,4,Empreendimento,A,10000,7.51,0,0.11,N,2
37,35000,,NULL,Medico,A,14900,13.57,0,NULL,N,3
24,48000,Alugada,8,Medico,C,4000,5.99,NULL,0.07,N,6
29,37000,Alugada,1,Medico,B,6500,NULL,0,0.18,N,8
26,127000,Hipotecada,10,Educacao,A,6000,5.42,0,0.05,N,3
29,58000,Hipotecada,8,"Pagamento de Débitos",A,1800,6.76,0,0.03,N,8
32,25000,Alugada,4,Medico,C,11700,12.68,1,0.47,Y,10
24,65158,Hipotecada,9,Empreendimento,B,18000,10.25,0,0.28,N,4
31,72000,Alugada,6,"Pagamento de Débitos",B,21000,11.99,1,0.29,N,6
37,70000,Hipotecada,3,Educacao,D,15000,15.2,0,0.21,N,15
26,20000,Hipotecada,1,Pessoal,A,1500,7.74,0,0.07,N,3
27,58000,Alugada,11,Empreendimento,A,7000,NULL,0,0.12,N,9
25,46000,Hipotecada,5,Educacao,B,23500,10.25,0,0.51,N,4
37,42000,Alugada,0,Medico,A,12000,NULL,0,0.29,N,13
35,35000,Hipotecada,5,Educacao,B,5600,11.49,0,0.16,N,6
24,60000,Propria,9,"Melhoria do lar",B,15000,11.83,0,0.25,N,3
26,114000,Hipotecada,10,Pessoal,A,14400,7.14,0,0.13,N,2
23,50000,Alugada,4,Empreendimento,B,18225,10.74,1,0.36,N,3
26,108000,Hipotecada,4,Pessoal,A,9000,5.79,0,0.08,N,2
36,15000,Propria,2,Pessoal,C,5000,13.92,1,0.33,Y,15
29,NULL,,11,Medico,A,4500,17.99,1,0.19,Y,3
24,74700,Hipotecada,4,Empreendimento,B,19750,11.12,0,0.26,N,3
29,115000,Hipotecada,3,Medico,C,22000,15.23,0,0.19,Y,7
24,58000,Alugada,3,Empreendimento,C,6000,12.87,0,0.1,Y,2
21,18000,Alugada,2,Pessoal,B,4500,10.38,1,0.25,N,2
25,191000,Hipotecada,1,Medico,B,10000,12.53,0,0.05,N,4
24,145000,Hipotecada,0,Pessoal,B,7000,10.99,0,0.05,N,2
53,28000,Alugada,2,"Pagamento de Débitos",C,7000,6,0,0.25,N,26
27,90000,Alugada,4,"Melhoria do lar",A,19200,6.99,0,0.21,N,8
26,35000,Alugada,10,Educacao,B,12875,NULL,1,0.37,N,3
24,87996,Alugada,8,"Pagamento de Débitos",D,10000,14.84,1,0.11,Y,2
36,72000,Propria,5,Empreendimento,B,6000,11.36,0,0.08,N,17
27,97000,Hipotecada,11,Pessoal,B,3600,9.25,0,0.04,N,7
23,48000,Hipotecada,7,Empreendimento,A,14125,NULL,0,0.29,N,2
32,42000,Alugada,4,"Pagamento de Débitos",B,5000,10.08,0,0.12,N,9
24,39000,Alugada,2,"Pagamento de Débitos",E,16000,19.91,1,0.41,Y,3
22,85000,Alugada,0,"Pagamento de Débitos",A,10000,7.66,0,0.12,N,3
24,56000,Alugada,0,Empreendimento,C,12000,14.26,0,0.21,Y,2
30,270000,Hipotecada,7,"Melhoria do lar",E,35000,19.69,0,0.13,N,8
41,55000,Alugada,9,"Pagamento de Débitos",B,12000,12.53,0,0.22,N,15
22,75000,Alugada,0,"Pagamento de Débitos",A,8000,5.99,0,0.11,N,3
25,50000,Alugada,0,"Melhoria do lar",B,6400,9.91,0,0.13,N,4
26,75000,Hipotecada,2,Empreendimento,A,4000,5.79,0,0.05,N,3
22,46104,Alugada,4,Educacao,A,8775,7.29,0,0.19,N,2
48,30000,Alugada,0,"Pagamento de Débitos",B,6000,12.42,1,0.2,N,12
28,20000,Alugada,4,Pessoal,D,4000,14.59,0,0.2,N,9
27,120000,Hipotecada,11,Educacao,E,20000,NULL,0,0.17,Y,7
23,68000,Hipotecada,5,Medico,B,11500,9.99,0,0.17,N,2
31,46992,Alugada,1,Medico,B,11000,11.14,0,0.23,N,9
23,39000,Alugada,1,Pessoal,B,12000,10.99,1,0.31,N,2
30,52000,Hipotecada,2,Pessoal,C,18500,10.91,0,0.36,N,7
26,59497,Propria,2,Medico,E,7000,17.88,1,0.1,N,2
24,79050,Alugada,2,Medico,B,2100,9.91,1,0.02,N,4
30,75000,Alugada,2,Medico,C,6000,12.68,0,0.08,N,8
29,32997,Alugada,7,"Pagamento de Débitos",A,10000,5.79,0,0.3,N,7
NULL,70000,Alugada,5,Educacao,B,13225,16.11,0,NULL,Y,7
22,24000,Alugada,6,Medico,B,6000,10.65,0,0.25,N,4
22,22800,Alugada,4,Educacao,C,5000,13.85,0,0.22,Y,2
35,30000,Hipotecada,11,Medico,B,11000,10.65,0,0.37,N,10
23,24000,Propria,2,Educacao,D,8000,15.62,0,0.33,N,2
23,25200,Alugada,7,Educacao,B,7200,11.86,1,0.29,N,4
33,75000,Hipotecada,6,Empreendimento,A,6000,7.51,0,0.08,N,5
21,45192,Hipotecada,0,Pessoal,B,11700,10.74,0,0.26,N,2
NULL,83400,Hipotecada,2,"Pagamento de Débitos",C,2200,7.49,1,NULL,N,6
28,56000,Propria,10,"Melhoria do lar",C,12000,14.72,0,0.21,Y,7
24,46809,Alugada,4,"Pagamento de Débitos",B,5000,12.18,0,0.11,N,4
26,84996,Alugada,0,Medico,B,9000,11.26,0,0.11,N,2
32,52500,Hipotecada,15,"Pagamento de Débitos",A,9500,6.92,0,0.18,N,7
23,64000,Alugada,7,Educacao,D,10325,12.92,1,0.16,Y,2
46,105398,Hipotecada,9,"Melhoria do lar",E,20700,17.43,0,0.2,N,12
25,25000,Alugada,0,Medico,C,8500,12.53,1,0.34,Y,2
27,35000,Alugada,8,Pessoal,B,12000,9.91,1,0.34,N,8
33,56312,Alugada,2,"Melhoria do lar",B,3000,11.71,0,0.05,N,9
30,144000,Hipotecada,12,Pessoal,C,35000,12.68,0,0.24,N,8
32,30000,Hipotecada,6,Empreendimento,A,10000,7.51,0,0.33,N,9
34,33666,Alugada,4,"Pagamento de Débitos",D,8000,17.49,1,0.24,Y,5
23,70000,Alugada,1,Medico,B,17000,8.88,0,0.24,N,4
27,86875,Hipotecada,5,Empreendimento,B,8000,10.59,0,0.09,N,10
26,45000,Alugada,3,Medico,B,1500,10.25,0,0.03,N,4
22,50000,Hipotecada,6,Pessoal,A,7800,6.62,0,0.16,N,3
29,19200,Alugada,1,"Pagamento de Débitos",A,2000,5.99,1,0.1,N,6
32,300000,Hipotecada,2,Medico,C,24000,12.87,0,0.08,N,10
28,115000,Hipotecada,11,"Melhoria do lar",A,5000,7.51,0,0.04,N,8
29,63000,Alugada,13,Medico,A,10000,7.49,0,0.16,N,5
25,28800,Alugada,8,Educacao,B,6800,9.63,0,0.24,N,3
24,47000,Alugada,8,"Pagamento de Débitos",B,NULL,11.49,0,0.19,,4
42,85000,Alugada,3,Empreendimento,C,5750,12.99,0,0.07,Y,15
26,110400,Hipotecada,3,Pessoal,F,9800,NULL,0,0.09,Y,3
24,30000,Alugada,0,Medico,C,4600,NULL,0,0.15,Y,2
36,72000,Hipotecada,4,"Melhoria do lar",B,13000,NULL,0,0.18,N,13
23,25000,Alugada,3,Medico,B,5600,11.11,0,0.22,N,4
21,39600,Alugada,3,Educacao,D,7000,14.96,0,0.18,Y,2
27,56004,Hipotecada,4,Pessoal,A,3100,9.32,0,0.06,N,7
22,48000,Alugada,6,Medico,A,16500,8.9,1,0.34,N,4
24,72000,Alugada,5,"Melhoria do lar",B,8000,10,0,0.11,N,2
25,42500,Alugada,1,"Pagamento de Débitos",B,12000,12.69,0,0.28,N,3
58,68000,Hipotecada,1,Pessoal,B,8000,10.99,0,0.12,N,29
25,80000,Hipotecada,9,Empreendimento,E,4000,19.03,0,0.05,Y,3
24,25000,Alugada,0,"Melhoria do lar",B,8500,12.21,1,0.34,N,2
22,75000,Alugada,2,Educacao,B,19600,12.42,0,0.26,N,4
36,62000,Alugada,5,"Pagamento de Débitos",A,9600,9.32,0,0.15,N,11
25,44000,Hipotecada,4,Medico,D,5550,14.11,1,0.13,Y,4
22,40000,Propria,0,Educacao,B,6000,11.48,0,0.15,N,4
37,170004,Hipotecada,1,"Melhoria do lar",E,25000,16.45,0,0.15,Y,13
35,45000,Alugada,3,Medico,A,5500,6.92,0,0.12,N,6
22,40800,Hipotecada,7,Educacao,C,17050,NULL,0,0.42,Y,2
35,15000,Propria,3,Medico,A,3700,9.32,1,0.25,N,5
37,780000,Alugada,9,Empreendimento,B,7500,12.18,0,0.01,N,13
26,47000,Alugada,0,"Melhoria do lar",D,25000,15.28,1,0.53,Y,2
27,14400,Alugada,3,Educacao,F,2500,18.3,1,0.17,N,7
22,52800,Alugada,3,Educacao,A,5600,7.29,0,0.11,N,3
37,25000,Alugada,0,Empreendimento,D,2775,15.65,1,0.11,Y,14
38,35000,Hipotecada,7,"Pagamento de Débitos",A,13075,7.29,0,0.37,N,16
27,100000,Alugada,0,Empreendimento,A,18000,7.88,0,0.18,N,5
33,612000,Alugada,3,Medico,C,5950,12.73,0,0.01,Y,10
41,24000,Hipotecada,5,Medico,A,1500,NULL,0,0.06,N,15
24,114000,Hipotecada,8,Empreendimento,B,4000,NULL,0,0.04,N,2
22,96000,Hipotecada,3,Educacao,C,11400,13.04,0,0.12,Y,2
24,72000,Hipotecada,0,Educacao,B,9000,NULL,0,0.13,N,2
25,28128,Alugada,2,Educacao,D,7500,15.33,1,0.27,Y,3
24,24000,,0,Empreendimento,D,7000,10.38,0,NULL,N,4
24,80000,Alugada,5,Empreendimento,B,10000,11.14,0,0.13,N,4
33,54000,Hipotecada,7,Empreendimento,C,7500,13.22,0,0.14,N,10
29,41004,Alugada,6,Pessoal,B,12000,10,0,0.29,N,7
23,60000,Alugada,2,Empreendimento,A,9000,NULL,0,0.15,N,4
29,54000,Alugada,0,Pessoal,D,10000,14.96,1,0.19,N,9
23,44400,Alugada,2,"Pagamento de Débitos",A,7100,6.99,1,0.16,N,3
36,130000,Alugada,3,"Pagamento de Débitos",B,14000,10.37,0,0.11,N,14
26,36000,Hipotecada,8,"Melhoria do lar",C,6000,12.29,0,0.17,Y,4
31,34800,Hipotecada,3,Empreendimento,D,2000,15.65,0,0.06,N,6
